time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-09T11:36:28.820Z,38.8321648,-122.8191681,1.61,1.18,md,9,80,0.01128,0.01,nc,nc73731216,2022-05-09T14:37:10.841Z,"8km NW of The Geysers, CA",earthquake,0.4,1.08,,1,automatic,nc,nc
2022-05-09T11:29:39.930Z,38.8334999,-122.7910004,2.12,1.17,md,21,49,0.004929,0.04,nc,nc73731211,2022-05-09T14:11:10.695Z,"6km WNW of Cobb, CA",earthquake,0.25,0.52,0.07,5,automatic,nc,nc
2022-05-09T11:28:11.880Z,38.8338318,-122.7881699,1.86,2.14,md,31,59,0.004876,0.06,nc,nc73731201,2022-05-09T13:18:10.389Z,"6km WNW of Cobb, CA",earthquake,0.2,0.3,0.12,10,automatic,nc,nc
2022-05-09T11:24:33.220Z,18.0003333333333,-66.8311666666667,12.48,2.22,md,9,131,,0.22,pr,pr71348053,2022-05-09T12:08:02.310Z,"1 km WNW of Indios, Puerto Rico",earthquake,0.47,0.56,0.113912644692931,7,reviewed,pr,pr
2022-05-09T11:24:25.540Z,46.85033333333333,-121.76133333333334,2.38,-0.32,md,8,93,0.02439,0.05,uw,uw61829692,2022-05-09T17:50:25.550Z,"22 km ENE of Ashford, Washington",earthquake,0.25,0.59,0.22975756600350727,8,reviewed,uw,uw
2022-05-09T11:13:38.558Z,46.2265,2.5995,12.27,4.1,mb,,154,1.657,0.79,us,us7000h83c,2022-05-09T12:38:06.040Z,"5 km SW of Villebret, France",earthquake,6.4,6.8,0.184,8,reviewed,us,us
2022-05-09T11:10:18.221Z,37.168,-113.9055,4.6,0.2,ml,6,114.81,0.024,0.1779,nn,nn00838562,2022-05-09T20:58:37.601Z,"Utah",earthquake,,3,0.44,5,reviewed,nn,nn
2022-05-09T10:08:30.733Z,60.4287,-141.3731,13.1,0.6,ml,,,,0.51,ak,ak0225xibvsx,2022-05-09T10:10:45.742Z,"134 km NW of Yakutat, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-05-09T10:03:24.932Z,37.4091,-113.8648,3.8,0.6,ml,5,188.94,0.053,0.0572,nn,nn00838559,2022-05-09T20:52:23.062Z,"17 km WNW of Veyo, Utah",earthquake,,7.5,0.17,3,reviewed,nn,nn
2022-05-09T09:48:58.220Z,37.3831667,-118.8016667,2.79,0.97,md,10,171,0.1923,0.03,nc,nc73731176,2022-05-09T18:47:23.426Z,"18km W of Round Valley, CA",earthquake,0.36,31.61,0.255,9,reviewed,nc,nc
2022-05-09T09:48:41.650Z,33.3585,-116.3716667,12.34,1.28,ml,57,45,0.03191,0.19,ci,ci40254712,2022-05-09T17:15:30.380Z,"11km N of Borrego Springs, CA",earthquake,0.19,0.44,0.175,24,reviewed,ci,ci
2022-05-09T09:33:18.440Z,37.383,-118.797,9.73,0.7,md,11,82,0.1886,0.07,nc,nc73731171,2022-05-09T16:43:15.657Z,"18km W of Round Valley, CA",earthquake,0.32,2.49,0.094,7,reviewed,nc,nc
2022-05-09T09:29:24.350Z,37.7141685,-121.9738312,10.46,1.44,md,17,130,0.07596,0.04,nc,nc73731166,2022-05-09T10:54:15.517Z,"4km WNW of Dublin, CA",earthquake,0.41,0.46,0.06,11,automatic,nc,nc
2022-05-09T09:26:07.530Z,37.3764992,-118.8036652,11.67,2.57,md,23,79,0.193,0.07,nc,nc73731161,2022-05-09T19:42:08.082Z,"19km WSW of Round Valley, CA",earthquake,0.34,1.94,0.16,29,automatic,nc,nc
2022-05-09T09:14:10.420Z,44.4388333,-115.2121667,5.96,1.66,ml,11,83,0.843,0.18,mb,mb80545349,2022-05-09T20:46:09.890Z,"32 km NW of Stanley, Idaho",earthquake,0.54,1.24,0.322,9,reviewed,mb,mb
2022-05-09T09:10:03.450Z,34.1443333,-80.7268333,4.1,1.79,md,8,110,0.02767,0.31,se,se60150143,2022-05-09T21:12:35.040Z,"6 km ESE of Elgin, South Carolina",earthquake,1.52,0.83,0.062,4,reviewed,se,se
2022-05-09T09:08:10.070Z,38.8305016,-122.8123322,1.82,1.01,md,24,46,0.007312,0.03,nc,nc73731156,2022-05-09T10:13:10.267Z,"8km NW of The Geysers, CA",earthquake,0.19,0.41,0.16,4,automatic,nc,nc
